nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Travail, emploi et insertion;13.402915425;;;;
Justice;10.741447806;;;;
Services du Premier ministre;18.643028933;0.14950804;;0.032;
Armées;51.483934654;;;;
Transition écologique;42.399734542;2.381439214;0.36;0.383;
Économie, finances et relance;208.752986113;;70.995499618;130.6558074;
Solidarités et santé;15.616269282;;;;
Intérieur;27.873730123;;0.3661503;;
Agriculture et alimentation;4.912051618;;0.126;;
Cohésion des territoires et relations avec les collectivités territoriales;5.034783856;;0.600462;;
Culture;4.136114355;;;;
Outre-mer;2.466949689;;;;
Éducation nationale, jeunesse et sports;77.8839384;;;;
Europe et affaires étrangères;6.030039652;;;;
Mer;0.984130344;;;;
Transformation et fonction publiques;0.485071496;;;;
Enseignement supérieur, recherche et innovation;24.773681258;;;;
