nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;11.570305767;;;;
Travail, plein emploi et insertion;20.87696787;;;;
Intérieur et outre-mer;32.191888011;;0.36615032;;
Europe et affaires étrangères;6.654141908;;;;
Transition écologique et cohésion des territoires;33.072034183;2.1218157;0.656441;0.3884;
Économie, finances et souveraineté industrielle et numérique;228.849592182;;82.435321166;140.4365973;
Solidarités, autonomie et personnes handicapées;29.412424353;;;;
Services du Premier ministre;9.095722545;0.15259642;;0.031;
Culture;4.422749929;;;;
Éducation nationale et  jeunesse;81.63864966;;;;
Agriculture et souveraineté alimentaire;5.878220796;;0.126;;
Armées;55.105801226;;;;
Transformation et fonction publiques;0.607419719;;;;
Enseignement supérieur et recherche;25.871522105;;;;
Transition énergétique;28.364587667;;0.36;;
Santé et prévention;3.36679126;;;;
Sports et jeux olympiques et paralympiques;0.995121668;;;;
